brand,Model,year,number_of_cylinders,engine_capacity_in_liters,engine_type,transmission,mixed_fuel_consumption_per_100_km_l,CO2_emissions_g/km
Alfa Romeo,156,2007,4,2,Gasoline,Manual,9.15,
Alfa Romeo,156,2007,4,1.7,Gasoline,Manual,9.25,
Alfa Romeo,156,2007,4,2,Gasoline,Manual,9.35,
Alfa Romeo,159,2011,4,1.9,Gasoline,Manual,9.4,
Alfa Romeo,156,2007,4,2,Gasoline,Manual,9.4,
Alfa Romeo,Giulia,2020,6,2.9,Gasoline,Manual,9.4,
Alfa Romeo,145,1999,4,2,Gasoline,Manual,9.5,
Alfa Romeo,145,2001,4,2,Gasoline,Manual,9.5,
Alfa Romeo,146,2001,4,2,Gasoline,Manual,9.5,
Alfa Romeo,75,1992,6,3,Gasoline,Manual,9.5,
Alfa Romeo,159,2011,4,1.9,Gasoline,Manual,9.55,
Alfa Romeo,147,2004,4,2,Gasoline,Manual,9.55,
Alfa Romeo,147,2010,4,2,Gasoline,Manual,9.55,
Alfa Romeo,GTV,2006,4,1.7,Gasoline,Manual,9.7,
Alfa Romeo,Spider,2006,4,2,Gasoline,Manual,9.85,
Alfa Romeo,164,1998,6,3,Gasoline,Automatic,9.85,
Alfa Romeo,164,1998,6,3,Gasoline,Manual,9.85,
Alfa Romeo,166,2007,4,2,Gasoline,Manual,10,
Alfa Romeo,164,1998,6,3,Gasoline,Manual,10,
Alfa Romeo,S.Z./R.Z.,1994,6,3,Gasoline,Manual,10,
Alfa Romeo,GTV,2006,4,2,Gasoline,Manual,10.05,
Alfa Romeo,Spider,2006,4,2,Gasoline,Manual,10.05,
Alfa Romeo,159,2011,4,2.2,Gasoline,Manual,10.15,
Alfa Romeo,Brera,2020,4,2.2,Gasoline,Manual,10.15,
Alfa Romeo,159,2011,4,2.2,Gasoline,Manual,10.25,
Alfa Romeo,Spider,2010,4,2.2,Gasoline,Manual,10.25,
Alfa Romeo,Brera,2020,4,2.2,Gasoline,Automatic,10.8,
Alfa Romeo,Spider,2006,6,2,Gasoline,Manual,11.85,
Alfa Romeo,166,2007,6,2.5,Gasoline,Manual,12,
Alfa Romeo,Spider,2010,6,3.2,Gasoline,Manual,12,
Alfa Romeo,159,2011,6,3.2,Gasoline,Manual,12.15,
Alfa Romeo,159,2011,6,3.2,Gasoline,Manual,12.2,
Alfa Romeo,GTV,2006,6,3,Gasoline,Manual,12.35,
Alfa Romeo,156,2007,6,2.5,Gasoline,Manual,12.45,
Alfa Romeo,166,2007,6,2,Gasoline,Manual,12.5,
Alfa Romeo,166,2007,6,2.5,Gasoline,Manual,12.5,
Alfa Romeo,159,2011,6,3.2,Gasoline,Manual,12.5,
Alfa Romeo,156,2007,6,2.5,Gasoline,Manual,12.55,
Alfa Romeo,159,2011,6,3.2,Gasoline,Manual,12.65,
Alfa Romeo,Brera,2020,6,3.2,Gasoline,Manual,12.65,
Alfa Romeo,GTV,2006,6,3,Gasoline,Manual,12.75,
Alfa Romeo,Spider,2006,6,3,Gasoline,Manual,12.8,
Alfa Romeo,156,2007,6,2.5,Gasoline,Automatic,12.9,
Alfa Romeo,156,2007,6,2.5,Gasoline,Automatic,13,
Alfa Romeo,156,2007,6,2.5,Gasoline,Manual,13,
Alfa Romeo,GT,2010,6,3.2,Gasoline,Manual,13,
Alfa Romeo,Brera,2020,6,3.2,Gasoline,Automatic,13,
Alfa Romeo,156,2007,6,2.5,Gasoline,Automatic,13.1,
Alfa Romeo,147,2004,6,3.2,Gasoline,Manual,13.35,
Alfa Romeo,156,2007,6,3.2,Gasoline,Manual,13.35,
Alfa Romeo,164,1998,6,3,Gasoline,Manual,13.5,
Alfa Romeo,166,2007,6,3,Gasoline,Manual,13.5,
Alfa Romeo,166,2007,6,3.2,Gasoline,Manual,13.5,
Alfa Romeo,159,2011,6,3.2,Gasoline,Automatic,13.5,
Alfa Romeo,156,2007,6,3.2,Gasoline,Manual,13.6,
Alfa Romeo,159,2011,6,3.2,Gasoline,Automatic,13.6,
Alfa Romeo,Spider,2010,6,3.2,Gasoline,Automatic,13.6,
Alfa Romeo,Spider,2006,6,3.2,Gasoline,Manual,14.55,
Alfa Romeo,GTV,2006,6,3.2,Gasoline,Manual,14.6,
Alpina,B3,2020,6,3,Gasoline,Automatic,8.15,
Alpina,B4,2020,6,3,Gasoline,Automatic,8.15,
Alpina,D3,2020,6,3,Diesel,Automatic,5.45,
Alpina,D3,2020,6,3,Diesel,Automatic,5.55,
Alpina,D3,2012,4,2,Diesel,Manual,5.65,
Alpina,D3,2020,6,3,Diesel,Automatic,5.75,
Alpina,D5,2013,6,3,Diesel,Automatic,6.15,
Alpina,D5,2020,6,3,Diesel,Automatic,6.15,
Alpina,D3,2012,4,2,Diesel,Automatic,6.5,
Alpina,D5,2013,6,3,Diesel,Automatic,6.5,
Alpina,D5,2020,6,3,Diesel,Automatic,6.5,
Alpina,XD3,2014,6,3,Diesel,Automatic,6.75,
Alpina,XD3,2020,6,3,Diesel,Automatic,6.75,
Alpina,D10,2003,6,2.9,Diesel,Manual,7.5,
Alpina,D10,2003,6,2.9,Diesel,Manual,8,
Alpina,B3,2020,6,3,Gasoline,Automatic,8.3,
